EmployeeID,EmployeeName,Department,JobTitle,HireDate,Location,PerformanceRating,ExperienceYears,Status,WorkMode,Salary
1,Employee_1,R&D,Research Analyst,2012-05-10,"City, UK",5,4,Active,Remote,117498
2,Employee_2,Marketing,SEO Specialist,2017-12-29,"City, UK",5,1,Resigned,Onsite,35311
3,Employee_3,Sales,Sales Executive,2013-03-30,"City, Germany",2,5,Active,Remote,114478
4,Employee_4,HR,Recruiter,2010-07-09,"City, UK",4,6,Terminated,Onsite,99092
5,Employee_5,Finance,Analyst,2017-11-28,"City, USA",4,8,Terminated,Onsite,98148
6,Employee_6,HR,Recruiter,2014-01-18,"City, Germany",5,7,Active,Onsite,49457
7,Employee_7,Operations,Operations Executive,2017-02-26,"City, USA",4,5,Active,Onsite,67065
8,Employee_8,Operations,Operations Executive,2023-06-13,"City, Germany",1,13,Active,Remote,112798
9,Employee_9,Marketing,SEO Specialist,2020-12-07,"City, India",4,11,Active,Remote,81214
10,Employee_10,Marketing,Marketing Executive,2017-01-12,"City, India",4,7,Active,Onsite,69504
11,Employee_11,Finance,Analyst,2022-04-02,"City, Canada",2,6,Active,Onsite,38392
12,Employee_12,Sales,Sales Manager,2018-07-02,"City, Canada",3,11,Active,Onsite,143252
13,Employee_13,R&D,Research Analyst,2017-05-14,"City, India",5,9,Active,Remote,151626
14,Employee_14,IT,System Analyst,2024-01-22,"City, USA",2,11,Active,Remote,152096
15,Employee_15,Sales,Sales Executive,2021-06-23,"City, Germany",5,6,Active,Onsite,92623
16,Employee_16,R&D,Innovation Manager,2019-01-28,"City, Germany",2,9,Resigned,Onsite,32693
17,Employee_17,Sales,Sales Manager,2019-12-07,"City, Germany",3,15,Resigned,Onsite,74262
18,Employee_18,Operations,Operations Manager,2025-01-18,"City, UK",1,3,Active,Remote,51959
19,Employee_19,Finance,Accountant,2022-01-31,"City, Canada",1,2,Active,Remote,103530
20,Employee_20,Operations,Operations Executive,2014-02-04,"City, India",4,0,Active,Remote,82733
21,Employee_21,R&D,Research Analyst,2014-06-25,"City, India",1,10,Active,Onsite,142181
22,Employee_22,R&D,Innovation Manager,2019-07-07,"City, USA",5,11,Active,Onsite,100467
23,Employee_23,R&D,Innovation Manager,2018-11-30,"City, UK",1,14,Resigned,Onsite,136081
24,Employee_24,Operations,Operations Executive,2015-04-15,"City, India",1,11,Active,Onsite,121906
25,Employee_25,Sales,Sales Manager,2013-10-01,"City, UK",3,3,Active,Remote,114896
26,Employee_26,R&D,Research Analyst,2017-12-29,"City, India",3,11,Resigned,Remote,51918
27,Employee_27,Operations,Operations Executive,2010-09-20,"City, Germany",2,15,Active,Onsite,163121
28,Employee_28,IT,IT Manager,2020-03-12,"City, Canada",5,15,Active,Remote,147858
29,Employee_29,Finance,Analyst,2022-04-27,"City, India",4,10,Retired,Onsite,156063
30,Employee_30,Operations,Operations Manager,2010-04-09,"City, India",5,1,Active,Onsite,32869
31,Employee_31,Finance,Accountant,2021-02-19,"City, India",4,0,Active,Remote,88871
